MAT	<p>b33d_f171</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	represents how many independent values can vary after constraints are applied	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	the sum of the normalized square difference between observed and expected data	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	biologists use a probability of 0.05 (5%) for this value	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	this hypothesis represents a deviation or bias from the expected pattern
MAT	<p>b33d_57ca</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the fixed probability for whether or<strong> <strong>NOT</strong> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	this hypothesis represents a deviation or bias from the expected pattern
MAT	<p>b33d_7e40</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	if the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> cannot be <strong><span style="color: #4d8426;">supported</span></strong> , then this opposing hypothesis is <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #C21460;">p-value</span></strong>	a small value suggests the observed data are<strong> <strong>NOT</strong> </strong>consistent with the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	in most <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> tests, it is the number of observed categories (rows in the table) minus one	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	if this value is large, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>
MAT	<p>b33d_ded7</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	biologists use a probability of 0.05 (5%) for this value	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	in most <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> tests, it is the number of observed categories (rows in the table) minus one	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we are attempting to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis indirectly by using the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test
MAT	<p>b33d_fa8c</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	this hypothesis represents a deviation or bias from the expected pattern	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	a measure of the discrepancy between the observed and expected data sets	<strong><span style="color: #C21460;">p-value</span></strong>	if this value is small, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	biologists use a probability of 0.05 (5%) for this value	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>
MAT	<p>b33d_9882</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	the bigger this number, the smaller the <strong><span style="color: #C21460;">p-value</span></strong>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	in most <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> tests, it is the number of observed categories (rows in the table) minus one	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	for this hypothesis, the expected values are often impossible to calculate	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	a fixed probability cutoff whether the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be or cannot be <strong><span style="color: #4d8426;">supported</span></strong>
MAT	<p>b33d_811a</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	for this hypothesis, the expected values are often impossible to calculate	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	the sum of the normalized square difference between observed and expected data	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not
MAT	<p>b33d_4791</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	this hypothesis represents a deviation or bias from the expected pattern	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	usually one less than the number of observed categories (rows in the table)	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #C21460;">p-value</span></strong>	a small value suggests the observed data are<strong> <strong>NOT</strong> </strong>consistent with the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	the bigger this number, the smaller the <strong><span style="color: #C21460;">p-value</span></strong>
MAT	<p>b33d_3c62</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we aim to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #C21460;">p-value</span></strong>	the smaller this number, the bigger the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	if this value is large, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	a constant probability that provides a cutoff for falsification of the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>
MAT	<p>b33d_a05f</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	if this value is large, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	a constant probability that provides a cutoff for falsification of the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic
MAT	<p>b33d_ea96</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	represents how many independent values can vary after constraints are applied	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test
MAT	<p>b33d_ae54</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #C21460;">p-value</span></strong>	if this value is small, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the fixed probability for whether or<strong> <strong>NOT</strong> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we attempt to find evidence against this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	usually one less than the number of observed categories (rows in the table)
MAT	<p>b33d_629c</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	this number determines which row of the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> <strong><span style="color: #4424D6;">critical value</span></strong> table you should use	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #C21460;">p-value</span></strong>	a small value suggests the observed data are<strong> <strong>NOT</strong> </strong>consistent with the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>
MAT	<p>b33d_a7dc</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	a measure of the discrepancy between the observed and expected data sets	<strong><span style="color: #C21460;">p-value</span></strong>	a small value suggests the observed data are<strong> <strong>NOT</strong> </strong>consistent with the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we are attempting to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis indirectly by using the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	represents how many independent values can vary after constraints are applied
MAT	<p>b33d_7229</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	represents how many independent values can vary after constraints are applied	<strong><span style="color: #C21460;">p-value</span></strong>	a small value suggests the observed data are<strong> <strong>NOT</strong> </strong>consistent with the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not
MAT	<p>b33d_5a80</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #C21460;">p-value</span></strong>	if this value is small, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	in most <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> tests, it is the number of observed categories (rows in the table) minus one	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we aim to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	a fixed probability cutoff whether the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be or cannot be <strong><span style="color: #4d8426;">supported</span></strong>
MAT	<p>b33d_6754</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #C21460;">p-value</span></strong>	the smaller this number, the bigger the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	a measure of the discrepancy between the observed and expected data sets	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	usually one less than the number of observed categories (rows in the table)
MAT	<p>b33d_2ab6</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	in most <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> tests, it is the number of observed categories (rows in the table) minus one	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not
MAT	<p>b33d_d1c3</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	if the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> cannot be <strong><span style="color: #4d8426;">supported</span></strong> , then this opposing hypothesis is <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	this number determines which row of the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> <strong><span style="color: #4424D6;">critical value</span></strong> table you should use
MAT	<p>b33d_d1d8</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the fixed probability for whether or<strong> <strong>NOT</strong> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	this number determines which row of the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> <strong><span style="color: #4424D6;">critical value</span></strong> table you should use	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we are attempting to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis indirectly by using the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>
MAT	<p>b33d_f622</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #4424D6;">critical value</span></strong>	the boundary of how extreme a test statistic we need to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the statistical cutoff of the result for the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> to be <strong><span style="color: #4d8426;">supported</span></strong> or not	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	for this hypothesis, the expected values are often impossible to calculate	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	a measure of the discrepancy between the observed and expected data sets
MAT	<p>b33d_91c2</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	usually one less than the number of observed categories (rows in the table)	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	<strong><span style="color: #C21460;">p-value</span></strong>	if this value is small, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	the fixed probability for whether or<strong> <strong>NOT</strong> </strong>the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> can be <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	we want to <strong><span style="color: #eb1601;">faill to support</span> </strong>this hypothesis in our <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test
MAT	<p>b33d_f7e2</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	biologists use a probability of 0.05 (5%) for this value	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	we are attempting to <strong><span style="color: #4d8426;">support</span> </strong>this hypothesis indirectly by using the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test	<strong><span style="color: #4424D6;">critical value</span></strong>	found in a table for a given degrees of freedom and <strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	a measure of the discrepancy between the observed and expected data sets
MAT	<p>b33d_58cc</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	the sum of the normalized square difference between observed and expected data	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	usually one less than the number of observed categories (rows in the table)	<strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>	this hypothesis makes it easier to calculate the expected values	<strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	if the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong> cannot be <strong><span style="color: #4d8426;">supported</span></strong> , then this opposing hypothesis is <strong><span style="color: #4d8426;">supported</span></strong>	<strong><span style="color: #C21460;">p-value</span></strong>	the probability of getting a result that is either the same or more extreme than the actual observations
MAT	<p>b33d_ec10</p> <p>Match each of the following <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #4424D6;">critical value</span></strong>	the cutoff used to compare against the observed <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #687f19;">degrees of freedom</span></strong>	this number determines which row of the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> <strong><span style="color: #4424D6;">critical value</span></strong> table you should use	<strong><span style="color: #C21460;">p-value</span></strong>	the smaller this number, the bigger the <strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	<strong><span style="color: #aa6701;">chi-square (&chi;&sup2;)</span></strong> test statistic	if this value is large, then there is stronger evidence to <strong><span style="color: #4d8426;">support</span> </strong>the <strong><span style="color: #cf4b03;">alternative hypothesis, H<sub>a</sub></span></strong>	<strong><span style="color: #8601AF;">level of significance, &alpha;</span></strong>	a constant probability that provides a cutoff for falsification of the <strong><span style="color: #0247FE;">null hypothesis, H<sub>0</sub></span></strong>
