MAT	<p>e57d_655c</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #90461c;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #006882;">totipotent</span>	can give rise to any of the 220 cell types found in an embryo as well as extra-embryonic cells (placenta)	<span style="color: #006d5d;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #902f88;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells
MAT	<p>e57d_cd3f</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006d5d;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #006882;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #90461c;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #902f88;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells
MAT	<p>e57d_a172</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #902f88;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells	<span style="color: #616300;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #90461c;">multipotent</span>	have the ability to turn into a number of different cells in the body; e.g., bone, muscle, cartilage, or fat cells	<span style="color: #006882;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #006d5d;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells
MAT	<p>e57d_df7e</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006882;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #006d5d;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #90461c;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #902f88;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells
MAT	<p>e57d_4e30</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #902f88;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm	<span style="color: #006d5d;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #90461c;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #616300;">oligopotent</span>	can differentiate into only a few cells; e.g., lymphoid or myeloid stem cells	<span style="color: #006882;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization
MAT	<p>e57d_7ca1</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #902f88;">unipotent</span>	can differentiate into only one type of cell; e.g., skin cells	<span style="color: #006882;">totipotent</span>	can form all the cell types in a body, as well as the extraembryonic or placental cells	<span style="color: #006d5d;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #90461c;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells
MAT	<p>e57d_aeeb</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #90461c;">multipotent</span>	can differentiate into a limited type of cells; e.g., adult and cord blood stem cells	<span style="color: #902f88;">unipotent</span>	capable of developing into only one type of cell or tissue; e.g., germ line stem cell	<span style="color: #006882;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #006d5d;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #616300;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells
MAT	<p>e57d_5b6a</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #90461c;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #902f88;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #006d5d;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #616300;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #006882;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast
MAT	<p>e57d_36da</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #006882;">totipotent</span>	extremely rare cells that have the ability to form an entire human being including the trophoblast	<span style="color: #90461c;">multipotent</span>	they are found in most body organs, where they replace diseased or aged cells	<span style="color: #006d5d;">pluripotent</span>	cells that can maintain an undifferentiated state indefinitely and can differentiate into most, if<strong> <strong>NOT</strong> </strong>all, cells of the body	<span style="color: #902f88;">unipotent</span>	the capacity to develop into only one type of cell or tissue; e.g., epidermal stem cells
MAT	<p>e57d_591a</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006d5d;">pluripotent</span>	can differentiate into all three basic body layers; e.g., embryonic stem cells	<span style="color: #902f88;">unipotent</span>	in comparison with other types of stem cells, this type has the lowest differentiation potential	<span style="color: #90461c;">multipotent</span>	these cells develop into multiple specialized cell types present in a specific tissue or organ	<span style="color: #616300;">oligopotent</span>	have the ability to transform into a small number of types of cells; e.g., plasma cells	<span style="color: #006882;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization
MAT	<p>e57d_3e75</p> <p>Match each of the following potencies of stem cells with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<span style="color: #006882;">totipotent</span>	can differentiate into all of the cell types of the body as well as placental cells; e.g., first two zygote cells after fertilization	<span style="color: #90461c;">multipotent</span>	have the ability to turn into a number of different cells in the body; e.g., bone, muscle, cartilage, or fat cells	<span style="color: #616300;">oligopotent</span>	myeloid stem cells are this type because they only produce a few types of cells; e.g., neutrophils and eosinophils	<span style="color: #006d5d;">pluripotent</span>	an undifferentiated cell that has the potential to differentiate into any of the 220 cell-types of the human body	<span style="color: #902f88;">unipotent</span>	a cell that can differentiate along only one lineage; e.g., germ line stem cells that make sperm
