MC	<p>1b98_43c7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>f923_9ac0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>4147_a4dc</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>71c3_9d4d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>296e_48b0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct
MC	<p>c2f9_6bc9</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect
MC	<p>0e95_d746</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect
MC	<p>e93f_1a57</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect
MC	<p>e93f_a638</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect
MC	<p>8a90_7046</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>06fc_143d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct
MC	<p>60d1_7917</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>c2f9_b3fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>bba1_8a0e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>71c3_7477</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect
MC	<p>281d_1c0a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>4147_24ec</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>90d3_0806</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>4147_3869</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>281d_df5c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>0893_5b90</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>0e95_5ca3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>acee_4d02</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect
MC	<p>0e95_93de</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
