MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_9624</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.
MAT	<p>45a0_53f4</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_bb25</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #003fff;">French Press</span></strong>	High-pressure hydraulic piston forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole.
MAT	<p>45a0_eb06</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Cells are pushed through a Z-shaped chamber using a high-pressure pump.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme digests gram-positive bacterial <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_461b</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.
MAT	<p>45a0_e89f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A Z-shaped interaction chamber and pump work in tandem to exert high pressures on <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.
MAT	<p>45a0_5628</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Drill-like device with spinning rotor blades to shear <strong><span style="color: #d40000;">cells</span></strong> apart.
MAT	<p>45a0_3092</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A Z-shaped interaction chamber and pump work in tandem to exert high pressures on <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.
MAT	<p>45a0_9b91</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are forced through a tiny hole by a high-pressure hydraulic piston.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cell suspensions are subjected to variable temperatures, resulting in rupture of the walls.
MAT	<p>45a0_60c6</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_c98f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Drill-like device with spinning rotor blades to shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
MAT	<p>45a0_5447</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cold temperatures form ice crystals, which expand, ultimately causing the <strong><span style="color: #b74300;">cell</span> </strong>wall to rupture.
MAT	<p>45a0_84c5</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A Z-shaped interaction chamber and pump work in tandem to exert high pressures on <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.
MAT	<p>45a0_86ac</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Chemical reactions digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A high-pressure pump pushes <strong><span style="color: #d40000;">cells</span></strong> through a Z-shaped interaction chamber.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_103f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Gentle abrasion is applied to <strong><span style="color: #d40000;">cells</span></strong> through vortexing with glass or metal particles.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_25d6</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.
MAT	<p>45a0_f638</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.
MAT	<p>45a0_9402</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves rupture <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_9b93</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme digests gram-positive bacterial <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #003fff;">French Press</span></strong>	Cell suspension is forced through a narrow valve using a hydraulic piston.
MAT	<p>45a0_63e4</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass particles are placed into a blender and act like bullets smashing the <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme is commonly used to digest the <strong><span style="color: #b74300;">cell</span> </strong>wall of gram-positive bacteria.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.
MAT	<p>45a0_f944</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	This technique uses extremely cold temperatures and grinding to pulverize <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
MAT	<p>45a0_5491</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Glass or ceramic particles stirred at high speeds crack <strong><span style="color: #d40000;">cells</span></strong> open.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.
MAT	<p>45a0_df64</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Z-shaped chamber and pump create high pressure to disrupt <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_55d8</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Extreme temperature variations cause <strong><span style="color: #b74300;">cell</span> </strong>wall rupture.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Cells are disrupted by the shear force and tension caused by high-frequency sound waves.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Drill-like device with spinning rotor blades to shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.
MAT	<p>45a0_407b</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells are suspended in buffers containing protein catalysts that digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_364f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic sound energy is used to cause air bubbles in a liquid to implode, damaging the <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	The <strong><span style="color: #d40000;">cells</span></strong> are disrupted by hand grinding them.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_955f</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.
MAT	<p>45a0_e92e</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cells are pulverized through a combination of extreme cold.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Shearing forces from spinning blades break <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."
MAT	<p>45a0_301e</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Manual grinding of <strong><span style="color: #d40000;">cells</span></strong> that can take several minutes."	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Under cold temperatures, the water inside the <strong><span style="color: #d40000;">cells</span></strong> expands into ice, causing the <strong><span style="color: #d40000;">cells</span></strong> to burst open.
MAT	<p>45a0_50c4</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Cells are pushed through a Z-shaped chamber using a high-pressure pump.	<strong><span style="color: #3b7600;">Sonication</span></strong>	High-frequency sound waves produce tiny bubbles that explode, producing a local shockwave.
MAT	<p>45a0_3e98</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
MAT	<p>45a0_0791</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Chemical reactions digest the <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld cylindrical glass tube and a spinning pestle that has a tight fit within the shaft.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.
MAT	<p>45a0_7d5a</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic sound energy is used to cause air bubbles in a liquid to implode, damaging the <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cold temperatures form ice crystals, which expand, ultimately causing the <strong><span style="color: #b74300;">cell</span> </strong>wall to rupture.
MAT	<p>45a0_edde</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are forced through a tiny hole by a high-pressure hydraulic piston.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A high-pressure pump pushes <strong><span style="color: #d40000;">cells</span></strong> through a Z-shaped interaction chamber.	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_4e77</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #3b7600;">Sonication</span></strong>	High-frequency sound waves cause disruption of <strong><span style="color: #d40000;">cells</span></strong> by shear force and tension.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Samples are ground by hand to break apart into small pieces.
MAT	<p>45a0_7ccf</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cell suspensions are subjected to variable temperatures, resulting in rupture of the walls.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass or ceramic particles are used to crack open <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_e51d</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Z-shaped chamber and pump create high pressure to disrupt <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	An expensive bead-beating machine can process a large number of samples simultaneously in a short time.
