MC	<p>12a1_e1ba</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 0 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	10^0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	10^0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>7b4d_bdce</p> <p>The pH of the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is <span style='font-family: monospace;'>5.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	1 times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Correct	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1 times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect
MC	<p>ac24_de40</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.1</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	7 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	7 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>b7f6_101b</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is pH <span style='font-family: monospace;'>11.1</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> has:</p>	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	1 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>a992_a156</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is pH <span style='font-family: monospace;'>8.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> has:</p>	4 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	4 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>8474_0d55</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.5</span>, while the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is pH <span style='font-family: monospace;'>5.5</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #2563EB; font-weight: 700;'>rainwater</span> has:</p>	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	3 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	3 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>6a40_230a</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	6 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	6 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>b253_2d34</p> <p>The pH of the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is <span style='font-family: monospace;'>5.2</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.2</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	1 times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Correct	1 times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect
MC	<p>dee4_a806</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.5</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	5 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>3c47_6301</p> <p>The pH of the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is <span style='font-family: monospace;'>5.0</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.0</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Correct	1 times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1 times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect
MC	<p>da8e_3d5a</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is pH <span style='font-family: monospace;'>9.1</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #6B7280; font-weight: 700;'>egg white</span> has:</p>	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	3 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	3 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>cc52_f203</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	5 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	5 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>saliva</span>.	Correct
MC	<p>fd79_15a9</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.5</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is pH <span style='font-family: monospace;'>7.5</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> has:</p>	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>b27c_e2ec</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.4</span>, while the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is pH <span style='font-family: monospace;'>3.4</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #EA580C; font-weight: 700;'>orange juice</span> has:</p>	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	7 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	7 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect
MC	<p>3b49_1ec1</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.4</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	5 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>06b6_5032</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.0</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.0</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	10^10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>75ca_e780</p> <p>The pH of the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is <span style='font-family: monospace;'>5.5</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	3 times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Correct	3 times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect
MC	<p>d2fe_8f81</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>ada9_4710</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>10.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 9 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	9 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	9 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	1 billion (10<sup>9</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	1 billion (10<sup>9</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>ada9_05c8</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>10.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 9 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	1 billion (10<sup>9</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	9 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	9 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	1 billion (10<sup>9</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>acc2_fcd5</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	5 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>7996_56bf</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>7.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	5 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	5 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct
MC	<p>d76c_acef</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.0</span>, while the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is pH <span style='font-family: monospace;'>7.0</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> has:</p>	5 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	5 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>c843_9b77</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>11.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 9 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	1 billion (10<sup>9</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	1 billion (10<sup>9</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	9 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	9 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>676e_82ea</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.3</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.3</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	7 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	7 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>9f38_bb8c</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>7.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	3 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	3 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>ba73_97ed</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is pH <span style='font-family: monospace;'>7.4</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> has:</p>	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct
MC	<p>0121_b15e</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10^10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>d3c9_5760</p> <p>The pH of the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is <span style='font-family: monospace;'>5.6</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.6</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Correct	3 times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	3 times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect
MC	<p>ef47_1143</p> <p>The pH of the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is <span style='font-family: monospace;'>5.0</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.0</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	3 times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Correct	3 times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect
MC	<p>8353_2e86</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>10.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	4 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	4 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct
MC	<p>8328_d49e</p> <p>The pH of the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is <span style='font-family: monospace;'>3.3</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.3</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	2 times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	2 times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Correct	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect
MC	<p>acc2_33f1</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	5 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>0f80_47fd</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.5</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is pH <span style='font-family: monospace;'>7.5</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> has:</p>	3 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	3 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect
